kato,kato_version,level,type_code,name_ru,name_kk
103433109,NK RK 11-2025,settlement,2,с.Хасен,Хасен а.
103433111,NK RK 11-2025,settlement,2,Шифербаз,Шифербаз
103433113,NK RK 11-2025,settlement,2,с.Читобе,Шитөбе а.
103433114,NK RK 11-2025,settlement,2,с.Актас,Ақтас а.
103433115,NK RK 11-2025,settlement,2,с.Бердибай,Бердібай а.
103433116,NK RK 11-2025,settlement,2,Куйгенкора,Күйгенқора
103433117,NK RK 11-2025,settlement,2,с.Нарын,Нарын а.
103433118,NK RK 11-2025,settlement,2,с.Акбаз-1,Ақбаз-1 а.
103433119,NK RK 11-2025,settlement,2,с.Наум,Наум а.
103433121,NK RK 11-2025,settlement,2,с.Акшагыл,Ақшағыл а.
103433122,NK RK 11-2025,settlement,2,с.Атакан,Атақан а.
103433123,NK RK 11-2025,settlement,2,с.Барлыбай,Барлыбай а.
103433124,NK RK 11-2025,settlement,2,с.Бектур,Бектұр а.
103433125,NK RK 11-2025,settlement,2,с.Бесбастау,Бесбастау а.
103433126,NK RK 11-2025,settlement,2,с.Дос,Дос а.
103433127,NK RK 11-2025,settlement,2,с.Жалпак,Жалпақ а.
103433128,NK RK 11-2025,settlement,2,с.Жанузак,Жанұзақ а.
103433129,NK RK 11-2025,settlement,2,с.Жумакан-1,Жұмақан-1 а.
103433131,NK RK 11-2025,settlement,2,с.Жумакан-2,Жұмақан-2 а.
103433132,NK RK 11-2025,settlement,2,с.Какебай,Кәкебай а.
103433133,NK RK 11-2025,settlement,2,с.Касенгажи,Қасенғажы а.
103433134,NK RK 11-2025,settlement,2,с.Кармыс,Қармыс а.
103433135,NK RK 11-2025,settlement,2,с.Конакбай,Қонақбай а.
103433136,NK RK 11-2025,settlement,2,с.Кызбай,Қызбай а.
103433137,NK RK 11-2025,settlement,2,с.Кунбосын,Күнбосын а.
103433138,NK RK 11-2025,settlement,2,с.Зекен-1,Зекен-1 а.
103433139,NK RK 11-2025,settlement,2,с.Зекен-2,Зекен-2 а.
103433141,NK RK 11-2025,settlement,2,с.Майса,Майса а.
103433142,NK RK 11-2025,settlement,2,с.Манак,Манақ а.
103433143,NK RK 11-2025,settlement,2,с.Мухаметжан,Мұхаметжан а.
103433144,NK RK 11-2025,settlement,2,с.Нуртаза,Нұртаза а.
103433145,NK RK 11-2025,settlement,2,с.Оралбай,Оралбай а.
103433146,NK RK 11-2025,settlement,2,с.Оскенбай,Өскенбай а.
103433147,NK RK 11-2025,settlement,2,с.Пштахан,Пштахан а.
103433148,NK RK 11-2025,settlement,2,с.Сарбастау,Сарбастау а.
103433149,NK RK 11-2025,settlement,2,с.Темиртек,Теміртек а.
103433151,NK RK 11-2025,settlement,2,с.Шонтайбек,Шонтайбек а.
103433200,NK RK 11-2025,settlement,2,с.Аккала,Аққала а.
103433203,NK RK 11-2025,settlement,2,с.Байбалта,Байбалта а.
103433205,NK RK 11-2025,settlement,2,с.Шубарши,Шұбаршы а.
103435000,NK RK 11-2025,sub_district,2,Кокжиринский с.о.,Көкжыра а.о.
103435100,NK RK 11-2025,settlement,2,с.Кокжыра,Көкжыра а.
103435200,NK RK 11-2025,settlement,2,с.Базарга,Базарға а.
103435202,NK RK 11-2025,settlement,2,с.Алмас,Алмас а.
103435203,NK RK 11-2025,settlement,2,с.Байкара,Байқара а.
103435204,NK RK 11-2025,settlement,2,с.Дулагали,Дулағали а.
103435205,NK RK 11-2025,settlement,2,с.Жаскайрат,Жасқайрат а.
103435206,NK RK 11-2025,settlement,2,с.Жанабаз,Жаңабаз а.
103435207,NK RK 11-2025,settlement,2,с.Караоба,Қараоба а.
103435208,NK RK 11-2025,settlement,2,с.Кишкенетау,Кішкенетау а.
103435209,NK RK 11-2025,settlement,2,с.Базаршат,Базаршат а.
103435211,NK RK 11-2025,settlement,2,с.Каражал,Қаражал а.
103435500,NK RK 11-2025,settlement,2,с.Мурсалим,Мүрсәлім а.
103435502,NK RK 11-2025,settlement,2,с.Адилхан,Әділхан а.
103435503,NK RK 11-2025,settlement,2,с.Апырым,Апырым а.
103435504,NK RK 11-2025,settlement,2,с.Дендагул,Дендагүл а.
103435505,NK RK 11-2025,settlement,2,с.Кымбат,Қымбат а.
103435506,NK RK 11-2025,settlement,2,с.Кошкин,Көшкін а.
103435507,NK RK 11-2025,settlement,2,с.Маше,Маше а.
103435508,NK RK 11-2025,settlement,2,с.Мырзабай,Мырзабай а.
103435509,NK RK 11-2025,settlement,2,с.Орак,Орақ а.
103435511,NK RK 11-2025,settlement,2,с.Ракыш,Рақыш а.
103435513,NK RK 11-2025,settlement,2,с.Сарыбайбосын,Сарыбайбосын а.
103435515,NK RK 11-2025,settlement,2,с.Сейсеке,Сейсеке а.
103435516,NK RK 11-2025,settlement,2,с.Асемжан,Әсемжан а.
103435517,NK RK 11-2025,settlement,2,с.Азимхан,Әзімхан а.
103435518,NK RK 11-2025,settlement,2,с.Аксакал,Ақсақал а.
103435519,NK RK 11-2025,settlement,2,с.Ахмади,Ахмади а.
103435521,NK RK 11-2025,settlement,2,с.Боранбай,Боранбай а.
103435522,NK RK 11-2025,settlement,2,с.Ермухан,Ермұхан а.
103435523,NK RK 11-2025,settlement,2,с.Жоныс,Жоныс а.
103435524,NK RK 11-2025,settlement,2,с.Жумахан,Жұмахан а.
103435525,NK RK 11-2025,settlement,2,с.Мазабай,Мазабай а.
103435526,NK RK 11-2025,settlement,2,с.Мухажан,Мұқажан а.
103435527,NK RK 11-2025,settlement,2,с.Пима,Пима а.
103435528,NK RK 11-2025,settlement,2,с.Токтар,Тоқтар а.
103435529,NK RK 11-2025,settlement,2,с.Шаяхмет,Шаяхмет а.
103435531,NK RK 11-2025,settlement,2,с.Мешел,Мешел а.
103435532,NK RK 11-2025,settlement,2,с.Актубек,Ақтүбек а.
103435533,NK RK 11-2025,settlement,2,с.Акшал,Ақшал а.
103435534,NK RK 11-2025,settlement,2,с.Амре,Амре а.
103435535,NK RK 11-2025,settlement,2,с.Камза,Қамза а.
103435536,NK RK 11-2025,settlement,2,с.Сарша,Сарша а.
103435600,NK RK 11-2025,settlement,2,с.Сериктес,Серіктес а.
103435602,NK RK 11-2025,settlement,2,с.Алау,Алау а.
103435603,NK RK 11-2025,settlement,2,с.Молдабек,Молдабек а.
103435604,NK RK 11-2025,settlement,2,ЛСП,ЛСП
103437000,NK RK 11-2025,sub_district,2,Киндиктинский с.о.,Кіндікті а.о.
103437100,NK RK 11-2025,settlement,2,с.Киндикты,Кіндікті а.
103437102,NK RK 11-2025,settlement,2,с.Кенжалы,Кеңжалы а.
103437103,NK RK 11-2025,settlement,2,с.Умбет,Үмбет а.
103437104,NK RK 11-2025,settlement,2,с.Армандастар,Армандастар а.
103437105,NK RK 11-2025,settlement,2,с.Сепкожа,Сепқожа а.
103437106,NK RK 11-2025,settlement,2,с.Сарыбулак,Сарыбұлақ а.
103437107,NK RK 11-2025,settlement,2,с.Актогай,Ақтоғай а.
103437108,NK RK 11-2025,settlement,2,с.Арап,Арап а.
103437109,NK RK 11-2025,settlement,2,с.Аяган,Аяған а.
103437111,NK RK 11-2025,settlement,2,с.Болсынбек,Болсынбек а.
103437112,NK RK 11-2025,settlement,2,с.Карман,Қарман а.
103437113,NK RK 11-2025,settlement,2,с.Марсембай,Мәрсембай а.
103437114,NK RK 11-2025,settlement,2,с.Шан,Шаң а.
103437115,NK RK 11-2025,settlement,2,с.Жанабай-Жакып,Жаңабай-Жақып а.
103437200,NK RK 11-2025,settlement,2,с.Алгабас,Алғабас а.
103437202,NK RK 11-2025,settlement,2,с.Акжал,Ақжал а.
103437203,NK RK 11-2025,settlement,2,с.Ашудас,Ашудас а.
103437204,NK RK 11-2025,settlement,2,с.Зейнолла,Зейнолла а.
103437205,NK RK 11-2025,settlement,2,с.Ораз,Ораз а.
103437206,NK RK 11-2025,settlement,2,с.Отебай,Өтебай а.
103437207,NK RK 11-2025,settlement,2,с.Сандыктас,Сандықтас а.
103437208,NK RK 11-2025,settlement,2,с.Умитхан,Үмітхан а.
103439000,NK RK 11-2025,sub_district,2,Кумгольский с.о.,Құмкөл а.о.
103439100,NK RK 11-2025,settlement,2,с.Кумголь,Құмкөл а.
103439103,NK RK 11-2025,settlement,2,с. Абылхаир,Әбілхайыр а.
103439104,NK RK 11-2025,settlement,2,с.Акбаз,Ақбаз а.
103439105,NK RK 11-2025,settlement,2,с.Актыбай,Ақтыбай а.
103439107,NK RK 11-2025,settlement,2,с.Дон,Дөң а.
103439108,NK RK 11-2025,settlement,2,с.Иманбай,Иманбай а.
103439109,NK RK 11-2025,settlement,2,с.Кайракбай,Қайрақбай а.
103439111,NK RK 11-2025,settlement,2,с.Каныпхан,Қаныпхан а.
103439112,NK RK 11-2025,settlement,2,с.Мырзахан,Мырзахан а.
103439113,NK RK 11-2025,settlement,2,с.Обши,Обши а.
103439114,NK RK 11-2025,settlement,2,с.Рахия,Рахия а.
103439115,NK RK 11-2025,settlement,2,с.Саятбай,Саятбай а.
103439116,NK RK 11-2025,settlement,2,с.Уштобе,Үштөбе а.
103439117,NK RK 11-2025,settlement,2,с.Шымголхан,Шымғолхан а.
103439118,NK RK 11-2025,settlement,2,с.Киров,Киров а.
103439119,NK RK 11-2025,settlement,2,с.Солтыбай,Солтыбай а.
103439200,NK RK 11-2025,settlement,2,с.Кокбастау,Көкбастау а.
103439202,NK RK 11-2025,settlement,2,с.Адил,Әділ а.
103439203,NK RK 11-2025,settlement,2,с.Байшуак,Байшуақ а.
103439204,NK RK 11-2025,settlement,2,с.Бахтен,Бақтен а.
103439205,NK RK 11-2025,settlement,2,с.Битимбай,Бітімбай а.
103439206,NK RK 11-2025,settlement,2,с.Жанабай,Жаңабай а.
103439207,NK RK 11-2025,settlement,2,с.Жыланды,Жыланды а.
103439208,NK RK 11-2025,settlement,2,с.Карче,Карче а.
103439209,NK RK 11-2025,settlement,2,с.Кожамжар,Қожамжар а.
103439211,NK RK 11-2025,settlement,2,с.Косбастау,Қосбастау а.
103439213,NK RK 11-2025,settlement,2,Кызылкора,Қызылқора
103439217,NK RK 11-2025,settlement,2,с.Рахымбай,Рақымбай а.
103439219,NK RK 11-2025,settlement,2,с.Сертекбай,Сертекбай а.
103439221,NK RK 11-2025,settlement,2,с.Сункар,Сұңқар а.
103439223,NK RK 11-2025,settlement,2,с.Тасбастау,Тасбастау а.
103439225,NK RK 11-2025,settlement,2,с.Толениш,Төленіш а.
103439227,NK RK 11-2025,settlement,2,с.Шапат,Шапат а.
103439228,NK RK 11-2025,settlement,2,Жакты,Жақты
103439229,NK RK 11-2025,settlement,2,с.Такия кеткен,Тақия кеткен а.
103439231,NK RK 11-2025,settlement,2,с.Плотина,Плотина а.
103439232,NK RK 11-2025,settlement,2,с.Соркора,Сорқора а.
103439233,NK RK 11-2025,settlement,2,с.Казы,Қазы а.
103439234,NK RK 11-2025,settlement,2,с.Егинбай,Егінбай а.
103439235,NK RK 11-2025,settlement,2,с.Садубай,Садубай а.
103439236,NK RK 11-2025,settlement,2,с.Баянды,Баянды а.
103439237,NK RK 11-2025,settlement,2,с.Тебиске,Тебіске а.
103439238,NK RK 11-2025,settlement,2,с.Жакып,Жақып а.
103439239,NK RK 11-2025,settlement,2,с.Отейсуы,Өтейсуы а.
103439241,NK RK 11-2025,settlement,2,с.Испе,Испе а.
103439242,NK RK 11-2025,settlement,2,с.Ахмади,Ахмади а.
103439243,NK RK 11-2025,settlement,2,с.Коспа,Қоспа а.
103439244,NK RK 11-2025,settlement,2,с.Битембай,Бітембай а.
103439245,NK RK 11-2025,settlement,2,с.Оскан,Осқан а.
103439246,NK RK 11-2025,settlement,2,с.Зергер,Зергер а.
103439247,NK RK 11-2025,settlement,2,с.Каргин,Қарғын а.
103439300,NK RK 11-2025,settlement,2,с.Каргыба,Қарғыба а.
103439302,NK RK 11-2025,settlement,2,с.Айдабол,Айдабол а.
103439303,NK RK 11-2025,settlement,2,с.Байкан,Байқан а.
103439304,NK RK 11-2025,settlement,2,Жамануй,Жаманүй
103439305,NK RK 11-2025,settlement,2,с.Ержан,Ержан а.
103439306,NK RK 11-2025,settlement,2,с.Каратал 1,Қаратал 1 а.
103439307,NK RK 11-2025,settlement,2,с.Каратал 2,Қаратал 2 а.
103439308,NK RK 11-2025,settlement,2,с.Кенесбай,Кеңесбай а.
103439309,NK RK 11-2025,settlement,2,с.Томар,Томар а.
103439311,NK RK 11-2025,settlement,2,с.Шыбынды,Шыбынды а.
103439313,NK RK 11-2025,settlement,2,с.Шункыроба,Шұңқыроба а.
103439314,NK RK 11-2025,settlement,2,с.Диирмен,Диірмен а.
103439400,NK RK 11-2025,settlement,2,с.Кызылжулдыз,Қызылжұлдыз а.
103439402,NK RK 11-2025,settlement,2,Огород,Бақша
103439403,NK RK 11-2025,settlement,2,с.Бруцеллез,Бруцеллез а.
103439404,NK RK 11-2025,settlement,2,с.60 жылдык,Алпысжылдық а.
103439405,NK RK 11-2025,settlement,2,с.Карасу,Қарасу а.
103439406,NK RK 11-2025,settlement,2,с.Тебиске,Тебіске а.
103439407,NK RK 11-2025,settlement,2,с.Тортжатыр,Төртжатыр а.
103439408,NK RK 11-2025,settlement,2,Шекара,Шекара
103439409,NK RK 11-2025,settlement,2,с.Ержан,Ержан а.
103439411,NK RK 11-2025,settlement,2,с.Тлебалды база,Тілебалды база а.
103439412,NK RK 11-2025,settlement,2,с.Кайнар база,Қайнар база а.
103439413,NK RK 11-2025,settlement,2,с.Кабдеш база,Қабдеш база а.
103439414,NK RK 11-2025,settlement,2,с.Байкан,Байқан а.
103441000,NK RK 11-2025,sub_district,2,Кызылкесекский с.о.,Қызылкесек а.о.
103441100,NK RK 11-2025,settlement,2,с.Кызылкесек,Қызылкесек а.
103441105,NK RK 11-2025,settlement,2,с.Байгали,Байғали а.
103441106,NK RK 11-2025,settlement,2,с.Бердике,Бердіке а.
103441109,NK RK 11-2025,settlement,2,с.Исатай,Исатай а.
103441115,NK RK 11-2025,settlement,2,с.Кенесбай,Кеңесбай а.
103441129,NK RK 11-2025,settlement,2,с.Куан,Қуан а.
103441200,NK RK 11-2025,settlement,2,с.Егиндибулак,Егіндібұлақ а.
103441202,NK RK 11-2025,settlement,2,с.Алак,Алақ а.
103441203,NK RK 11-2025,settlement,2,с.Есенкара,Есенқара а.
103441204,NK RK 11-2025,settlement,2,с.Жанузак,Жанұзақ а.
103441205,NK RK 11-2025,settlement,2,с.Жинишке,Жіңішке а.
103441206,NK RK 11-2025,settlement,2,с.Журтыбай,Жұртыбай а.
103441207,NK RK 11-2025,settlement,2,с.Карашаш,Қарашаш а.
103441208,NK RK 11-2025,settlement,2,с.Кожаберген,Қожаберген а.
103441209,NK RK 11-2025,settlement,2,с.Майлышат,Майлышат а.
103441211,NK RK 11-2025,settlement,2,с.Мойылды,Мойылды а.
103441213,NK RK 11-2025,settlement,2,с.Муздысай,Мұздысай а.
103441214,NK RK 11-2025,settlement,2,с.Егиндибулак 2,Егіндібұлақ 2 а.
103441215,NK RK 11-2025,settlement,2,с.Талдыбулак,Талдыбұлақ а.
103441217,NK RK 11-2025,settlement,2,с.Токсанбай,Тоқсанбай а.
103441219,NK RK 11-2025,settlement,2,с.Ушкара,Үшқара а.
103441221,NK RK 11-2025,settlement,2,с.Шона,Шона а.
103441222,NK RK 11-2025,settlement,2,с.Шетбогас,Шетбоғас а.
103441223,NK RK 11-2025,settlement,2,с.Агымбай,Ағымбай а.
103441224,NK RK 11-2025,settlement,2,с.Актубек,Ақтүбек а.
103441225,NK RK 11-2025,settlement,2,с.Арап,Арап а.
103441226,NK RK 11-2025,settlement,2,с.Аюбай,Аюбай а.
103441227,NK RK 11-2025,settlement,2,с.Даутбай,Дәуітбай а.
103441228,NK RK 11-2025,settlement,2,с.Жаркен,Жәркен а.
103441229,NK RK 11-2025,settlement,2,с.Еспе,Еспе а.
103441231,NK RK 11-2025,settlement,2,с.Егиндибулак,Егіндібұлақ а.
103441232,NK RK 11-2025,settlement,2,с.Коктобе,Көктөбе а.
103441233,NK RK 11-2025,settlement,2,с.Караагаш,Қараағаш а.
103441234,NK RK 11-2025,settlement,2,с.Косылбек,Қосылбек а.
103441235,NK RK 11-2025,settlement,2,с.Такас,Тақас а.
103441236,NK RK 11-2025,settlement,2,с.Егиндибулак 2,Егіндібұлақ 2 а.
103441237,NK RK 11-2025,settlement,2,с.Каратакыр,Қаратақыр а.
103441238,NK RK 11-2025,settlement,2,с.Кул,Құл а.
103441239,NK RK 11-2025,settlement,2,с.Мамыжан,Мамыжан а.
103441241,NK RK 11-2025,settlement,2,с.Сама,Сама а.
103441242,NK RK 11-2025,settlement,2,с.Бакалы,Бақалы а.
103441243,NK RK 11-2025,settlement,2,с.Жумагул,Жұмагүл а.
103441244,NK RK 11-2025,settlement,2,с.Жылыбет,Жылыбет а.
103441245,NK RK 11-2025,settlement,2,с.Байорал,Байорал а.
103441246,NK RK 11-2025,settlement,2,с.Туйебаз,Түйебаз а.
103441400,NK RK 11-2025,settlement,2,с.Уштобе,Үштөбе а.
103441402,NK RK 11-2025,settlement,2,с.Амантай,Амантай а.
103441403,NK RK 11-2025,settlement,2,с.Бакалы,Бақалы а.
103441404,NK RK 11-2025,settlement,2,с.Досымхан,Досымхан а.
103441405,NK RK 11-2025,settlement,2,с.Жангизтал,Жаңғызтал а.
103441406,NK RK 11-2025,settlement,2,с.Караша,Қараша а.
103441407,NK RK 11-2025,settlement,2,с.Каражал,Қаражал а.
103441408,NK RK 11-2025,settlement,2,с.Касым,Қасым а.
103441409,NK RK 11-2025,settlement,2,с.Коскызыл,Қосқызыл а.
103441411,NK RK 11-2025,settlement,2,с.Койтас,Қойтас а.
103441413,NK RK 11-2025,settlement,2,с.Кызбике,Қызбике а.
103441415,NK RK 11-2025,settlement,2,с.Кызыломар,Қызыломар а.
103441417,NK RK 11-2025,settlement,2,с.Кулбулагы,Көлбўлағы а.
103441419,NK RK 11-2025,settlement,2,с.Сауле,Сәуле а.
103441421,NK RK 11-2025,settlement,2,с.Самет,Сәмет а.
103441423,NK RK 11-2025,settlement,2,с.Тауык,Тауық а.
103441425,NK RK 11-2025,settlement,2,с.Талдыбазар,Талдыбазар а.
103441427,NK RK 11-2025,settlement,2,с.Хамкожан,Хамқожан а.
103441429,NK RK 11-2025,settlement,2,с.Шынтемир,Шынтемір а.
103441431,NK RK 11-2025,settlement,2,с.Шынтай,Шынтай а.
103441432,NK RK 11-2025,settlement,2,с.Саршокы,Саршоқы а.
103441433,NK RK 11-2025,settlement,2,с.Кокия,Қоқия а.
103441434,NK RK 11-2025,settlement,2,с.Аманбай,Аманбай а.
103441435,NK RK 11-2025,settlement,2,с.Елеусиз,Елеусіз а.
103441436,NK RK 11-2025,settlement,2,с.Аккудык,Аққұдық а.
103441437,NK RK 11-2025,settlement,2,с.Дара,Дара а.
103441438,NK RK 11-2025,settlement,2,с.Алипбайали,Әліпбайәлі а.
103441439,NK RK 11-2025,settlement,2,с.Елаул,Елаул а.
103441441,NK RK 11-2025,settlement,2,с.Байшойын,Байшойын а.
103441442,NK RK 11-2025,settlement,2,с.Акжайляу,Ақжайлау а.
103441443,NK RK 11-2025,settlement,2,с.Абат,Абат а.
103441444,NK RK 11-2025,settlement,2,с.Акбаз,Ақбаз а.
103441445,NK RK 11-2025,settlement,2,с.Алшын,Алшын а.
103441446,NK RK 11-2025,settlement,2,с.Ералы,Ералы а.
103441447,NK RK 11-2025,settlement,2,с.Зергер,Зергер а.
103441448,NK RK 11-2025,settlement,2,с.Итбай,Итбай а.
103441449,NK RK 11-2025,settlement,2,с.Кабыш,Қабыш а.
103441451,NK RK 11-2025,settlement,2,с.Максим Горький,Максим Горький а.
103441452,NK RK 11-2025,settlement,2,с.Молдажар,Молдажар а.
103441453,NK RK 11-2025,settlement,2,с.Лаубай,Лаубай а.
103441454,NK RK 11-2025,settlement,2,с.Сарыозек,Сарыөзек а.
103441455,NK RK 11-2025,settlement,2,с.Томар,Томар а.
103441456,NK RK 11-2025,settlement,2,с.Торебек,Төребек а.
103443000,NK RK 11-2025,sub_district,2,Ойшиликский с.о.,Ойшылық а.о.
103443100,NK RK 11-2025,settlement,2,с.Ойшилик,Ойшылық а.
103443102,NK RK 11-2025,settlement,2,с.Жыргалы,Жырғалы а.
103443103,NK RK 11-2025,settlement,2,с.Коккемир,Көккемір а.
103443104,NK RK 11-2025,settlement,2,с.Конысбай,Қонысбай а.
103443105,NK RK 11-2025,settlement,2,с.Ортаойшылык,Ортаойшылық а.
103443106,NK RK 11-2025,settlement,2,с.Узынбулак,Ұзынбұлақ а.
103443107,NK RK 11-2025,settlement,2,с.Ескикокемер,Ескікөкемер а.
103443108,NK RK 11-2025,settlement,2,с.Жанакокемер,Жаңакөкемер а.
103443109,NK RK 11-2025,settlement,2,с.Жыргалы,Жырғалы а.
103443111,NK RK 11-2025,settlement,2,с.Тасбастау,Тасбастау а.
103443112,NK RK 11-2025,settlement,2,с.Карабастау,Қарабастау а.
103443113,NK RK 11-2025,settlement,2,с.Шилебастау,Шілебастау а.
103443200,NK RK 11-2025,settlement,2,с.Айнабастау,Айнабастау а.
103443202,NK RK 11-2025,settlement,2,с.Жартас,Жартас а.
103443203,NK RK 11-2025,settlement,2,с.Карасай,Қарасай а.
103443204,NK RK 11-2025,settlement,2,с.Кайранбай,Қайранбай а.
103443205,NK RK 11-2025,settlement,2,с.Кыземшек,Қыземшек а.
103443206,NK RK 11-2025,settlement,2,с.Суан,Суан а.
103443207,NK RK 11-2025,settlement,2,с.Такыр,Тақыр а.
103443208,NK RK 11-2025,settlement,2,с.Шору,Шору а.
103443209,NK RK 11-2025,settlement,2,с.Шилибастау,Шилібастау а.
103443211,NK RK 11-2025,settlement,2,с.Шобире,Шөбіре а.
103443300,NK RK 11-2025,settlement,2,с.Акжол,Ақжол а.
103443302,NK RK 11-2025,settlement,2,с.Бекбай,Бекбай а.
103443304,NK RK 11-2025,settlement,2,с.Билеуши,Билеуші а.
103443305,NK RK 11-2025,settlement,2,с.Бимырза,Бимырза а.
103443307,NK RK 11-2025,settlement,2,с.Кызылкора,Қызылқора а.
103443400,NK RK 11-2025,settlement,2,с.Есим,Есім а.
103443402,NK RK 11-2025,settlement,2,с.Абдилда,Әбділдә а.
103443403,NK RK 11-2025,settlement,2,с.Бекежан,Бекежан а.
103443406,NK RK 11-2025,settlement,2,с.Жангизтал,Жаңғызтал а.
103443407,NK RK 11-2025,settlement,2,с.Емдеу,Емдеу а.
103443411,NK RK 11-2025,settlement,2,с.Ушкын,Ұшқын а.
103443500,NK RK 11-2025,settlement,2,с.Танамырза,Таңамырза а.
103443504,NK RK 11-2025,settlement,2,с.Монак,Монақ а.
103443508,NK RK 11-2025,settlement,2,с.Шакен,Шәкен а.
103443509,NK RK 11-2025,settlement,2,с.Манак,Манақ а.
103443600,NK RK 11-2025,settlement,2,с.Томар,Томар а.
103443603,NK RK 11-2025,settlement,2,с.Апар,Апар а.
103443604,NK RK 11-2025,settlement,2,с.Жунис,Жүніс а.
103443605,NK RK 11-2025,settlement,2,с.Кожахмет,Қожахмет а.
103443606,NK RK 11-2025,settlement,2,с.Кошан,Қошан а.
103443607,NK RK 11-2025,settlement,2,с.Нургазы,Нўрғазы а.
103443608,NK RK 11-2025,settlement,2,с.Тойке,Тойке а.
103443609,NK RK 11-2025,settlement,2,с.Тымырсык,Тымырсық а.
103443615,NK RK 11-2025,settlement,2,с.Шокетай,Шөкетай а.
103445000,NK RK 11-2025,sub_district,2,Сатпаевский с.о.,Сәтбаев а.о.
103445100,NK RK 11-2025,settlement,2,с.Сатпаев,Сәтбаев а.
103445102,NK RK 11-2025,settlement,2,с.Акой,Ақой а.
103445103,NK RK 11-2025,settlement,2,с.Бесшатыр,Бесшатыр а.
103445104,NK RK 11-2025,settlement,2,с.Дархан,Дархан а.
103445105,NK RK 11-2025,settlement,2,с.50 жылдык,Елужылдық а.
103445106,NK RK 11-2025,settlement,2,с.Дора,Дора а.
103445107,NK RK 11-2025,settlement,2,с.Кусаин,Құсайын а.
103445108,NK RK 11-2025,settlement,2,с.Тортагул,Төртгүл а.
103445109,NK RK 11-2025,settlement,2,с.Уса,Ұса а.
103445111,NK RK 11-2025,settlement,2,с.Шолпай,Шолпай а.
103445113,NK RK 11-2025,settlement,2,с.Шурек 1,Шүрек 1 а.
103445115,NK RK 11-2025,settlement,2,с.Шурек 2,Шүрек 2 а.
103445200,NK RK 11-2025,settlement,2,с.Коктубек,Көктүбек а.
