kato,kato_version,name_ru,name_kk,rate,base_rate,valid_from,valid_to,decision_ref,source_url,extraction_method
111600000,NK RK 11-2025,Косшы Г.А.,Қосшы Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Косшы Акмолинской области от 12 ноября 2025 года № 206,https://adilet.zan.kz/rus/docs/G25BT20651M,deterministic-readers
111800000,NK RK 11-2025,Степногорск Г.А.,Степногор Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Степногорского городского маслихата Акмолинской области от 25 ноября 2025 года № 8С-26/5,https://adilet.zan.kz/rus/docs/G25BB08265M,deterministic-readers
113200000,NK RK 11-2025,Аккольский район,Ақкөл ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Аккольского районного маслихата Акмолинской области от 20 ноября 2025 года № С,https://adilet.zan.kz/rus/docs/G25BC00491M,deterministic-readers
113400000,NK RK 11-2025,Аршалынский район,Аршалы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Аршалынского районного маслихата Акмолинской области от 21 ноября 2025 года № 43/2,https://adilet.zan.kz/rus/docs/G25BD00432M,deterministic-readers
113600000,NK RK 11-2025,Астраханский район,Астрахан ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Астраханского районного маслихата Акмолинской области от 24 октября 2025 года № 8С-43-2,https://adilet.zan.kz/rus/docs/G25BF08432M,deterministic-readers
113800000,NK RK 11-2025,Атбасарский район,Атбасар ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Атбасарского районного маслихата Акмолинской области от 24 ноября 2025 года № 8С,https://adilet.zan.kz/rus/docs/G25BE08332M,deterministic-readers
114000000,NK RK 11-2025,Буландынский район,Бұланды ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Буландынского районного маслихата Акмолинской области от 24 ноября 2025 года № 8С-34/11,https://adilet.zan.kz/rus/docs/G25BG83411M,deterministic-readers
114400000,NK RK 11-2025,Егиндыкольский район,Егіндікөл ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Егиндыкольского районного маслихата Акмолинской области от 18 ноября 2025 года № 8С34-4,https://adilet.zan.kz/rus/docs/G25BH08344M,deterministic-readers
114500000,NK RK 11-2025,район Биржан сал,Біржан сал ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата района Биржан сал Акмолинской области от 13 ноября 2025 года № С-27/3,https://adilet.zan.kz/rus/docs/G25BJ00273M,deterministic-readers
114600000,NK RK 11-2025,Ерейментауский район,Ерейментау ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Ерейментауского районного маслихата Акмолинской области от 13 ноября 2025 года № 8С-46/9-25,https://adilet.zan.kz/rus/docs/G25BI84692M,deterministic-readers
114800000,NK RK 11-2025,Есильский район,Есіл ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Есильского районного маслихата Акмолинской области от 27 ноября 2025 года № 8С-40/3,https://adilet.zan.kz/rus/docs/G25BK08403M,deterministic-readers
115400000,NK RK 11-2025,Жаркаинский район,Жарқайың ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Жаркаинского районного маслихата Акмолинской области от 11 ноября 2025 года № 8С-59/3,https://adilet.zan.kz/rus/docs/G25BL08593M,deterministic-readers
115600000,NK RK 11-2025,Зерендинский район,Зеренді ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Зерендинского районного маслихата Акмолинской области от 24 ноября 2025 года № 36-276,https://adilet.zan.kz/rus/docs/G25BN36276M,deterministic-readers
116000000,NK RK 11-2025,Коргалжынский район,Қорғалжын ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Коргалжынского районного маслихата Акмолинской области от 20 ноября 2025 года № 1/38,https://adilet.zan.kz/rus/docs/G25BO00138M,deterministic-readers
116400000,NK RK 11-2025,Сандыктауский район,Сандықтау ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Сандыктауского районного маслихата Акмолинской области от 26 ноября 2025 года № 25/3,https://adilet.zan.kz/rus/docs/G25BP00253M,deterministic-readers
116600000,NK RK 11-2025,Целиноградский район,Целиноград ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Целиноградского районного маслихата Акмолинской области от 28 ноября 2025 года № 410/54-8,https://adilet.zan.kz/rus/docs/G25BQ41054M,deterministic-readers
116800000,NK RK 11-2025,Шортандинский район,Шортанды ауданы,0.02,0.04,2026-01-01,2026-12-31,None,https://adilet.zan.kz/rus/docs/G25BR08443M,deterministic-readers
117000000,NK RK 11-2025,Бурабайский район,Бурабай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Бурабайского районного маслихата Акмолинской области от 29 октября 2025 года № 8С-36/2,https://adilet.zan.kz/rus/docs/G25BS08362M,deterministic-readers
151000000,NK RK 11-2025,Актобе Г.А.,Ақтөбе Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата города Актобе Актюбинской области от 18 ноября 2025 года № 356,https://adilet.zan.kz/rus/docs/G25CA00356M,deterministic-readers
153200000,NK RK 11-2025,Алгинский район,Алға ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Алгинского районного маслихата Актюбинской области от 28 ноября 2025 года № 349,https://adilet.zan.kz/rus/docs/G25CC00349M,deterministic-readers
153400000,NK RK 11-2025,Айтекебийский район,Әйтеке би ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Айтекебийского районного маслихата Актюбинской области от 3 ноября 2025 года № 406,https://adilet.zan.kz/rus/docs/G25CB00406M,deterministic-readers
153600000,NK RK 11-2025,Байганинский район,Байғанин ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Байганинского районного маслихата Актюбинской области от 7 ноября 2025 года № 324,https://adilet.zan.kz/rus/docs/G25CD00324M,deterministic-readers
154000000,NK RK 11-2025,Каргалинский район,Қарғалы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Каргалинского районного маслихата Актюбинской области от 30 сентября 2025 года № 378,https://adilet.zan.kz/rus/docs/G25CF00378M,deterministic-readers
154600000,NK RK 11-2025,Мартукский район,Мәртөк ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Мартукского районного маслихата Актюбинской области от 20 ноября 2025 года № 266,https://adilet.zan.kz/rus/docs/G25CH00266M,deterministic-readers
154800000,NK RK 11-2025,Мугалжарский район,Мұғалжар ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Мугалжарского районного маслихата Актюбинской области от 30 октября 2025 года № 452,https://adilet.zan.kz/rus/docs/G25CI00452M,deterministic-readers
155200000,NK RK 11-2025,Уилский район,Ойыл ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Уилского районного маслихата Актюбинской области от 6 ноября 2025 года № 280,https://adilet.zan.kz/rus/docs/G25CK00280M,deterministic-readers
155600000,NK RK 11-2025,Темирский район,Темір ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Темирского районного маслихата Актюбинской области от 12 ноября 2025 года № 382,https://adilet.zan.kz/rus/docs/G25CJ00382M,deterministic-readers
156000000,NK RK 11-2025,Хромтауский район,Хромтау ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Хромтауского районного маслихата Актюбинской области от 12 ноября 2025 года № 403,https://adilet.zan.kz/rus/docs/G25CL00403M,deterministic-readers
156400000,NK RK 11-2025,Шалкарский район,Шалқар ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Шалкарского районного маслихата Актюбинской области от 12 ноября 2025 года № 534,https://adilet.zan.kz/rus/docs/G25CM00534M,deterministic-readers
191000000,NK RK 11-2025,Қонаев Г.А.,Қонаев Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Қонаев Алматинской области от 27 ноября 2025 года № 54-,https://adilet.zan.kz/rus/docs/G25DB54177M,deterministic-readers
191800000,NK RK 11-2025,Алатау Г.А.,Алатау Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата города Алатау Алматинской области от 27 ноября 2025 года № 24-,https://adilet.zan.kz/rus/docs/G25DU02465M,deterministic-readers
194000000,NK RK 11-2025,Енбекшиказахский район,Еңбекшіқазақ ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Енбекшиказахского районного маслихата Алматинской области от 28 ноября 2025 года № 50-225,https://adilet.zan.kz/rus/docs/G25DH50225M,deterministic-readers
194200000,NK RK 11-2025,Жамбылский район,Жамбыл ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Жамбылского районного маслихата Алматинской области от 26 ноября 2025 года № 40-184,https://adilet.zan.kz/rus/docs/G25DG40184M,deterministic-readers
195200000,NK RK 11-2025,Карасайский район,Қарасай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Карасайского районного маслихата Алматинской области от 26 ноября 2025 года № 45-3,https://adilet.zan.kz/rus/docs/G25DK00453M,deterministic-readers
196200000,NK RK 11-2025,Талгарский район,Талғар ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Талгарского районного маслихата Алматинской области от 28 ноября 2025 года № 50-204,https://adilet.zan.kz/rus/docs/G25DR50204M,deterministic-readers
196600000,NK RK 11-2025,Уйгурский район,Ұйғыр ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Уйгурского районного маслихата Алматинской области от 27 ноября 2025 года № 8-51-237,https://adilet.zan.kz/rus/docs/G25DS85123M,deterministic-readers
196800000,NK RK 11-2025,Илийский район,Іле ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Илийского районного маслихата Алматинской области от 28 ноября 2025 года № 52-172,https://adilet.zan.kz/rus/docs/G25DJ52172M,deterministic-readers
231000000,NK RK 11-2025,Атырау Г.А.,Атырау Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Атырау Атырауской области от 4 ноября 2025 года № 190,https://adilet.zan.kz/rus/docs/G25TA00190M,deterministic-readers
233600000,NK RK 11-2025,Жылыойский район,Жылыой ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Жылыойского районного маслихата Атырауской области от 28 ноября 2025 года № 38-1,https://adilet.zan.kz/rus/docs/G25TB00381M,deterministic-readers
234000000,NK RK 11-2025,Индерский район,Индер ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Индерского районного маслихата Атырауской области от 27 ноября 2025 года № 186-VIII,https://adilet.zan.kz/rus/docs/G25TF00186M,deterministic-readers
234600000,NK RK 11-2025,Курмангазинский район,Құрманғазы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Курмангазинского районного маслихата Атырауской области от 24 ноября 2025 года № 242-VIII,https://adilet.zan.kz/rus/docs/G25TH00242M,deterministic-readers
235200000,NK RK 11-2025,Макатский район,Мақат ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Макатского районного маслихата Атырауской области от 24 ноября 2025 года № 189-VIII,https://adilet.zan.kz/rus/docs/G25TG00189M,deterministic-readers
235600000,NK RK 11-2025,Махамбетский район,Махамбет ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Махамбетского районного маслихата Атырауской области от 21 ноября 2025 года № 237,https://adilet.zan.kz/rus/docs/G25TC00237M,deterministic-readers
271000000,NK RK 11-2025,Уральск Г.А.,Орал Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Уральского городского маслихата Западно-Казахстанской области от 28 ноября 2025 года № 24-9,https://adilet.zan.kz/rus/docs/G25ZA00249M,deterministic-readers
315000000,NK RK 11-2025,район Турара Рыскулова,Тұрар Рысқұлов ауданы,0.02,0.04,2026-01-01,2026-12-31,None,https://adilet.zan.kz/rus/docs/G25GH00415M,deterministic-readers
315600000,NK RK 11-2025,Мойынкумский район,Мойынқұм ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Мойынкумского районного маслихата Жамбылской области от 28 ноября 2025 года № 44-2,https://adilet.zan.kz/rus/docs/G25GG00442M,deterministic-readers
316000000,NK RK 11-2025,Сарысуский район,Сарысу ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Сарысуского районного маслихата Жамбылской области от 11 ноября 2025 года № 45-4,https://adilet.zan.kz/rus/docs/G25GI00454M,deterministic-readers
331000000,NK RK 11-2025,Талдыкорган Г.А.,Талдықорған Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Талдыкорган области Жетісу от 25 ноября 2025 года № 46-,https://adilet.zan.kz/rus/docs/G25IA46254M,deterministic-readers
331800000,NK RK 11-2025,Текели Г.А.,Текелі Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение маслихата города Текели области Жетісу от 19 ноября 2025 года № 37-154,https://adilet.zan.kz/rus/docs/G25IB37154M,deterministic-readers
333200000,NK RK 11-2025,Аксуский район,Ақсу ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Аксуского районного маслихата области Жетісу от 26 ноября 2025 года № 61-,https://adilet.zan.kz/rus/docs/G25IC61259M,deterministic-readers
333400000,NK RK 11-2025,Алакольский район,Алакөл ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Алакольского районного маслихата области Жетісу от 26 ноября 2025 года № 55-2,https://adilet.zan.kz/rus/docs/G25ID00552M,deterministic-readers
333600000,NK RK 11-2025,Ескельдинский район,Ескелді ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Ескельдинского районного маслихата области Жетісу от 1 декабря 2025 года № 54-156,https://adilet.zan.kz/rus/docs/G25IE54156M,deterministic-readers
334000000,NK RK 11-2025,Кербулакский район,Кербұлақ ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Кербулакского районного маслихата области Жетісу от 24 ноября 2025 года № 30-227,https://adilet.zan.kz/rus/docs/G25IG30227M,deterministic-readers
334200000,NK RK 11-2025,Коксуский район,Көксу ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Коксуского районного маслихата области Жетісу от 24 ноября 2025 года № 49,https://adilet.zan.kz/rus/docs/G25IH49201M,deterministic-readers
334400000,NK RK 11-2025,Каратальский район,Қаратал ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Каратальского районного маслихата области Жетісу от 21 ноября 2025 года № 49-133,https://adilet.zan.kz/rus/docs/G25IF49133M,deterministic-readers
334600000,NK RK 11-2025,Панфиловский район,Панфилов ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Панфиловского районного маслихата области Жетісу от 25 ноября 2025 года № 8-50-221,https://adilet.zan.kz/rus/docs/G25II85022M,deterministic-readers
334800000,NK RK 11-2025,Сарканский район,Сарқан ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Сарканского районного маслихата области Жетісу от 1 декабря 2025 года № 49-191,https://adilet.zan.kz/rus/docs/G25IJ49191M,deterministic-readers
351000000,NK RK 11-2025,Караганда Г.А.,Қарағанды Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Карагандинского городского маслихата от 28 ноября 2025 года № 318,https://adilet.zan.kz/rus/docs/G25KA00318M,deterministic-readers
351600000,NK RK 11-2025,Балхаш Г.А.,Балқаш Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Балхашского городского маслихата Карагандинской области от 28 ноября 2025 года № 25/205,https://adilet.zan.kz/rus/docs/G25KD25205M,deterministic-readers
352100000,NK RK 11-2025,Приозерск Г.А.,Приозерск Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Приозерского городского маслихата Карагандинской области от 28 ноября 2025 года № 34/255,https://adilet.zan.kz/rus/docs/G25KR34255M,deterministic-readers
352200000,NK RK 11-2025,Сарань Г.А.,Саран Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Саранского городского маслихата Карагандинской области от 25 ноября 2025 года № 252,https://adilet.zan.kz/rus/docs/G25KG00252M,deterministic-readers
352400000,NK RK 11-2025,Темиртау Г.А.,Теміртау Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Темиртауского городского маслихата Карагандинской области от 27 ноября 2025 года № 36/4,https://adilet.zan.kz/rus/docs/G25KC00364M,deterministic-readers
352800000,NK RK 11-2025,Шахтинск Г.А.,Шахтинск Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Шахтинского городского маслихата Карагандинской области от 26 ноября 2025 года № 458/24,https://adilet.zan.kz/rus/docs/G25KH45824M,deterministic-readers
353200000,NK RK 11-2025,Абайский район,Абай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Абайского районного маслихата Карагандинской области от 27 ноября 2025 года № 41/376,https://adilet.zan.kz/rus/docs/G25KI41376M,deterministic-readers
353600000,NK RK 11-2025,Актогайский район,Ақтоғай ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Актогайского районного маслихата Карагандинской области от 27 ноября 2025 года № 335,https://adilet.zan.kz/rus/docs/G25KJ00335M,deterministic-readers
354000000,NK RK 11-2025,Бухар-Жырауский район,Бұқар жырау ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Бухар-Жырауского районного маслихата Карагандинской области от 28 ноября 2025 года № 38/07,https://adilet.zan.kz/rus/docs/G25KK03807M,deterministic-readers
354800000,NK RK 11-2025,Каркаралинский район,Қарқаралы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Каркаралинского районного маслихата Карагандинской области от 28 ноября 2025 года № VIII-42/327,https://adilet.zan.kz/rus/docs/G25KM42327M,deterministic-readers
355200000,NK RK 11-2025,Нуринский район,Нұра ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Нуринского районного маслихата Карагандинской области от 21 ноября 2025 года № 188,https://adilet.zan.kz/rus/docs/G25KN00188M,deterministic-readers
355600000,NK RK 11-2025,Осакаровский район,Осакаров ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Осакаровского районного маслихата Карагандинской области от 28 ноября 2025 года № 40/407,https://adilet.zan.kz/rus/docs/G25KO40407M,deterministic-readers
392000000,NK RK 11-2025,Лисаковск Г.А.,Лисаков Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата города Лисаковска Костанайской области от 20 ноября 2025 года № 200,https://adilet.zan.kz/rus/docs/G25ND00200M,deterministic-readers
392400000,NK RK 11-2025,Рудный Г.А.,Рудный Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата города Рудного Костанайской области от 27 ноября 2025 года № 249,https://adilet.zan.kz/rus/docs/G25NB00249M,deterministic-readers
393600000,NK RK 11-2025,Аулиекольский район,Әулиекөл ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата Аулиекольского района Костанайской области от 17 ноября 2025 года № 389,https://adilet.zan.kz/rus/docs/G25NG00389M,deterministic-readers
394400000,NK RK 11-2025,Житикаринский район,Жітіқара ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата Житикаринского района Костанайской области от 17 ноября 2025 года № 343,https://adilet.zan.kz/rus/docs/G25NJ00343M,deterministic-readers
396200000,NK RK 11-2025,Сарыкольский район,Сарыкөл ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата Сарыкольского района Костанайской области от 19 ноября 2025 года № 359,https://adilet.zan.kz/rus/docs/G25NQ00359M,deterministic-readers
431000000,NK RK 11-2025,Кызылорда Г.А.,Қызылорда Қ.Ә.,0.02,0.04,2026-01-01,2026-12-31,Решение Кызылординского городского маслихата от 27 ноября 2025 года № 309-44/3,https://adilet.zan.kz/rus/docs/G25LA30944M,deterministic-readers
434000000,NK RK 11-2025,Жанакорганский район,Жаңақорған ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Жанакорганского районного маслихата Кызылординской области от 26 октября 2025 года № 441,https://adilet.zan.kz/rus/docs/G25LG00441M,deterministic-readers
434400000,NK RK 11-2025,Казалинский район,Қазалы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Казалинского районного маслихата Кызылординской области от 24 ноября 2025 года № 480,https://adilet.zan.kz/rus/docs/G25LD00480M,deterministic-readers
434600000,NK RK 11-2025,Кармакшинский район,Қармақшы ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Кармакшинского районного маслихата Кызылординской области от 28 ноября 2025 года № 334,https://adilet.zan.kz/rus/docs/G25LE00334M,deterministic-readers
434800000,NK RK 11-2025,Сырдарьинский район,Сырдария ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Сырдарьинского районного маслихата Кызылординской области от 20 ноября 2025 года № 216,https://adilet.zan.kz/rus/docs/G25LH00216M,deterministic-readers
471000000,NK RK 11-2025,Актау Г.А.,Ақтау Г.А.,0.03,0.04,2026-01-01,2026-12-31,Решение Актауского городского маслихата Мангистауской области от 28 ноября 2025 года № 26/167,https://adilet.zan.kz/rus/docs/G25MA26167M,deterministic-readers
471800000,NK RK 11-2025,Жанаозен Г.А.,Жаңаөзен Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Жанаозенского городского маслихата Мангистауской области от 19 ноября 2025 года № 32/281,https://adilet.zan.kz/rus/docs/G25MB32281M,deterministic-readers
473600000,NK RK 11-2025,Бейнеуский район,Бейнеу ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Бейнеуского районного маслихата Мангистауской области от 24 ноября 2025 года № 35/268,https://adilet.zan.kz/rus/docs/G25MC35268M,deterministic-readers
474200000,NK RK 11-2025,Каракиянский район,Қарақия ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Каракиянского районного маслихата Мангистауской области от 21 ноября 2025 года № 31/262,https://adilet.zan.kz/rus/docs/G25MD31262M,deterministic-readers
474600000,NK RK 11-2025,Мангистауский район,Маңғыстау ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Мангистауского районного маслихата Мангистауской области от 18 декабря 2025 года № 24/190,https://adilet.zan.kz/rus/docs/G25ME24190M,deterministic-readers
475000000,NK RK 11-2025,Мунайлинский район,Мұнайлы ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Мунайлинского районного маслихата Мангистауской области от 27 ноября 2025 года № 37/210,https://adilet.zan.kz/rus/docs/G25MG37210M,deterministic-readers
475200000,NK RK 11-2025,Тупкараганский район,Түпқараған ауданы,0.02,0.04,2026-01-01,2026-12-31,Решение Тупкараганского районного маслихата Мангистауской области от 28 ноября 2025 года № 35/169,https://adilet.zan.kz/rus/docs/G25MF35169M,deterministic-readers
551000000,NK RK 11-2025,Павлодар Г.А.,Павлодар Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Павлодарского городского маслихата Павлодарской области от 28 ноября 2025 года № 273/32,https://adilet.zan.kz/rus/docs/G25PA27332M,deterministic-readers
551600000,NK RK 11-2025,Аксу Г.А.,Ақсу Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Аксуского городского маслихата Павлодарской области от 28 ноября 2025 года № 241/42,https://adilet.zan.kz/rus/docs/G25PB24142M,deterministic-readers
552200000,NK RK 11-2025,Экибастуз Г.А.,Екібастұз Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Экибастузского городского маслихата Павлодарской области от 28 ноября 2025 года № 289/37,https://adilet.zan.kz/rus/docs/G25PC28937M,deterministic-readers
553600000,NK RK 11-2025,Баянаульский район,Баянауыл ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Баянаульского районного маслихата Павлодарской области от 27 ноября 2025 года № 368/39,https://adilet.zan.kz/rus/docs/G25PE36839M,deterministic-readers
554600000,NK RK 11-2025,Иртышский район,Ертіс ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Иртышского районного маслихата Павлодарской области от 27 ноября 2025 года № 143-42-8,https://adilet.zan.kz/rus/docs/G25PG14342M,deterministic-readers
554800000,NK RK 11-2025,район Тереңкөл,Тереңкөл ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата района Тереңкөл Павлодарской области от 26 ноября 2025 года № 2,https://adilet.zan.kz/rus/docs/G25PH00236M,deterministic-readers
555200000,NK RK 11-2025,район Аққулы,Аққулы ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение маслихата района Аққулы Павлодарской области от 27 ноября 2025 года № 163/38,https://adilet.zan.kz/rus/docs/G25PI16338M,deterministic-readers
555600000,NK RK 11-2025,Майский район,Май ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Майского районного маслихата Павлодарской области от 28 ноября 2025 года № 1/33,https://adilet.zan.kz/rus/docs/G25PJ00133M,deterministic-readers
556000000,NK RK 11-2025,Павлодарский район,Павлодар ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Павлодарского районного маслихата Павлодарской области от 28 ноября 2025 года № 38/320,https://adilet.zan.kz/rus/docs/G25PK38320M,deterministic-readers
556400000,NK RK 11-2025,Успенский район,Успен ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Успенского районного маслихата Павлодарской области от 27 ноября 2025 года № 200/42,https://adilet.zan.kz/rus/docs/G25PL20042M,deterministic-readers
556800000,NK RK 11-2025,Щербактинский район,Шарбақты ауданы,0.03,0.04,2026-01-01,2026-12-31,Решение Щербактинского районного маслихата Павлодарской области от 28 ноября 2025 года № 147/50,https://adilet.zan.kz/rus/docs/G25PM14750M,deterministic-readers
591000000,NK RK 11-2025,Петропавловск Г.А.,Петропавл Қ.Ә.,0.03,0.04,2026-01-01,2026-12-31,Решение Петропавловского городского маслихата Северо-Казахстанской области от 28 ноября 2025 года № 5/29,https://adilet.zan.kz/rus/docs/G25SA00529M,deterministic-readers
